region,t,t1,th_tt_bc,th_t1t1_bc,th_tt1_bc,th_t1t_bc
Eastern Zangazur economic region,2011,2012,0.2809290674051783,0.307986269919149,0.2938338035136548,0.2875458606264229
Ganja-Dashkasan economic region,2011,2012,0.4888006073465951,0.5360455914881858,0.5101997154495783,0.5127852389717101
Gazakh-Tovuz economic region,2011,2012,0.4851721978361225,0.5219871549875184,0.4947736470243686,0.5114482098930992
Guba-Khachmaz economic region,2011,2012,0.3814336965742452,0.4145142300812285,0.3857518452103794,0.408131689959329
Karabakh economic region,2011,2012,0.439318228385165,0.4573875461185986,0.4379733278537449,0.4578093544258342
Lankaran-Astara economic region,2011,2012,0.2419453173758845,0.6927871003843658,0.3263662870274562,0.5081733743033852
Mil-Mughan economic region,2011,2012,0.4728443013876463,0.5022682861028542,0.4805192215864551,0.4942502645572717
Nakhchivan Autonomous Republic,2011,2012,0.3666053728115418,0.4055275096050245,0.3736098245451957,0.3941295239375747
Shaki-Zagatala economic region,2011,2012,0.3871758531890871,0.4338677852247223,0.4022909614198764,0.4140217428464724
Shirvan-Salyan economic region,2011,2012,0.4017122075028891,0.4439688703231232,0.4230647031591514,0.4195204491870599
Absheron-Khizi economic region,2012,2013,0.4591695203352006,0.5276062436734938,0.8867540695637279,0.6113416627826931
Central Aran economic region,2012,2013,0.4878122935448665,0.4859792399816778,0.5145132459811359,0.4605628324015302
Daghlig Shirvan economic region,2012,2013,0.3978912483079582,0.3120195443475515,0.3473020123771156,0.288049398801031
Eastern Zangazur economic region,2012,2013,0.2924091425015357,0.3094467255563812,0.294708880157898,0.3027247660708151
Ganja-Dashkasan economic region,2012,2013,0.5297729213329965,0.5213349697126005,0.5514574504257874,0.4990432214118472
Gazakh-Tovuz economic region,2012,2013,0.5208740189365173,0.5095104748574131,0.5419292981802186,0.4899308836987199
Guba-Khachmaz economic region,2012,2013,0.3968004577792156,0.4083936426574923,0.4038385589020327,0.3957144259329699
Karabakh economic region,2012,2013,0.4557939840794907,0.4835533311314135,0.513384955681774,0.4293072859368599
Lankaran-Astara economic region,2012,2013,0.6593383873376473,0.3552889288784253,0.5431124689164941,0.4382014320794642
Mil-Mughan economic region,2012,2013,0.4999240728127205,0.4811647461213526,0.5111757506926151,0.4714665454402214
Nakhchivan Autonomous Republic,2012,2013,0.3973934682550918,0.3757705818515647,0.391176076810098,0.3812398338941433
Shaki-Zagatala economic region,2012,2013,0.4259367170275776,0.426198804589867,0.4450261762541477,0.4047846206185673
Shirvan-Salyan economic region,2012,2013,0.4374194536483992,0.4198564662594042,0.4451421694687975,0.4133987631864239
Absheron-Khizi economic region,2013,2014,0.5377644239159101,0.5424762081926047,0.6854887813989823,0.6385947722658205
Central Aran economic region,2013,2014,0.4908478570375004,0.5189869196525185,0.4967608199648095,0.5126917817636294
Daghlig Shirvan economic region,2013,2014,0.3209719259123216,0.3572449449913868,0.3269412492368097,0.3500011360119093
Eastern Zangazur economic region,2013,2014,0.3135739074015294,0.4081450028091171,0.3775198280644827,0.3397865271090405
Ganja-Dashkasan economic region,2013,2014,0.5287222814119035,0.5674890569309562,0.5443244948127257,0.5512730667465437
Gazakh-Tovuz economic region,2013,2014,0.5171792649129612,0.5612504281802612,0.5319439027235642,0.5428649183768081
Guba-Khachmaz economic region,2013,2014,0.413594191570529,0.4790238695095775,0.4393292235441546,0.448401355592365
Karabakh economic region,2013,2014,0.4844543075624032,0.548916452664085,0.5258652315747923,0.505690287202736
