region,region_type,year,cost_price_per_centner_milk_enterprises_manat,cost_price_per_centner_milk_private_manat,cows_dairy_buffaloes_stock_heads,cows_heads,fodder_sown_area_ha,labour_hours_per_centner_milk_enterprises,milk_production_tons,profitability_milk_enterprises_pct,profitability_milk_private_pct,selling_price_per_centner_milk_enterprises_manat,selling_price_per_centner_milk_private_manat,vrs_raw,crs_raw,vrs_bc,crs_bc,vrs_bootstrap_degenerate_draws,crs_bootstrap_degenerate_draws,scale_eff_raw,cost_milk,profitability,cattle_per1000,fodder_per100
Khojavand district,district,2008,,9.92,961.0,957.0,553.0,,1660.0,,21.4,,17.0,0.6684161507450869,0.589386273306624,0.589759273189281,0.5644046348809546,0,0,0.8817654580153877,9.92,21.4,0.957,5.53
Kurdamir district,district,2008,22.05,22.95,30411.0,24181.0,12927.0,50.0,24038.0,12.4,21.7,37.11,42.0,0.3385049222983359,0.33777534055468,0.307602662372037,0.3227935656171974,0,0,0.9978446938416662,22.05,12.4,24.181,129.27
Lachin district,district,2008,,23.85,13085.0,10874.0,1379.0,44.4,11391.0,20.0,25.0,30.0,30.0,0.3605759569041542,0.3559396671040535,0.320412071779724,0.3033088054775877,0,0,0.9871419885010994,23.85,20.0,10.874,13.79
Lankaran district,district,2008,24.31,17.84,21291.0,20619.0,189.0,42.8,25297.0,3.3,22.6,26.9,25.0,0.8819427731319268,0.7670463961325895,0.554059212293001,0.5597585091592598,0,0,0.8697235461306395,24.31,3.3,20.619,1.89
Lerik district,district,2008,27.03,17.6,16696.0,16493.0,239.0,54.1,13768.0,25.0,93.7,33.33,34.0,0.4907107271825436,0.4702105127593382,0.3819990401096547,0.3688520404224112,0,0,0.9582234231134316,27.03,25.0,16.493,2.39
Masalli district,district,2008,25.0,38.0,34170.0,32320.0,472.0,48.0,44155.0,18.2,45.0,26.0,58.0,0.9999999999999994,0.7686080344817869,0.0470047674349802,0.6037706427079046,13,0,0.7686080344817874,25.0,18.2,32.32,4.72
Neftchala district,district,2008,26.06,18.86,18554.0,16895.0,12775.0,50.0,19999.0,49.0,73.7,39.04,33.0,0.4038747261422475,0.4022110066222399,0.3781098281605984,0.386545313771491,0,0,0.9958806050185434,26.06,49.0,16.895,127.75
Oghuz district,district,2008,32.87,34.92,13051.0,11440.0,2373.0,46.5,15491.0,80.9,64.0,59.44,60.0,0.4635835471124649,0.4601053638218103,0.4228195250523342,0.4167932433986703,0,0,0.9924971813337224,32.87,80.9,11.44,23.73
Saatli district,district,2008,11.99,12.5,29730.0,27231.0,15470.0,47.9,36381.0,56.5,50.0,24.87,27.0,0.5537821656549011,0.4539572002402977,0.4600930574379626,0.4345722119603693,0,0,0.8197396528713584,11.99,56.5,27.231,154.7
Sabirabad district,district,2008,28.14,38.6,51721.0,42946.0,15870.0,48.0,69918.0,-16.3,5.3,23.69,55.82,0.9999999999999944,0.5531846795330894,0.0396169575052696,0.5205574517002872,19,0,0.5531846795330925,28.14,-16.3,42.946,158.7
Salyan district,district,2008,20.7,16.01,33124.0,31033.0,17103.0,48.0,40510.0,63.6,56.2,33.85,25.0,0.5964887764584889,0.4435497599056118,0.4614187519193246,0.4242813315579328,0,0,0.7436011831422609,20.7,63.6,31.033,171.03
Samukh district,district,2008,21.18,15.96,9530.0,8516.0,7314.0,47.0,13032.0,37.8,41.1,40.0,45.17,0.5253918833001119,0.5199711946500039,0.5021457545776592,0.5002489469164682,0,0,0.9896825801417802,21.18,37.8,8.516,73.14
Shabran district,district,2008,19.04,14.0,11378.0,10114.0,963.0,41.8,10889.0,-4.4,,23.37,50.0,0.3709345345885711,0.3658212380932209,0.3071221662713368,0.2901130347306362,0,0,0.9862150972245772,19.04,-4.4,10.114,9.63
Shaki district,district,2008,48.23,32.0,35450.0,29260.0,7780.0,48.0,47273.0,22.1,71.9,58.52,55.0,0.8564376407453205,0.5489625384835741,0.4120667601402354,0.5065740306623857,0,0,0.640983665787781,48.23,22.1,29.26,77.8
Shamakhi district,district,2008,,9.01,19199.0,18788.0,35.0,,20671.0,,-7.5,,25.67,1.0,0.852470972655053,0.0,0.2428767167573733,1,2,0.852470972655053,9.01,-7.5,18.788,0.35
Shamkir district,district,2008,10.0,,27893.0,26856.0,9704.0,48.0,36770.0,52.5,,20.22,,0.5735501564506218,0.4652176341401444,0.4453038567190349,0.4372854614693621,0,0,0.8111193570569551,10.0,52.5,26.856,97.04
Shusha district,district,2008,,17.78,1223.0,1182.0,515.0,,898.0,,41.7,,48.36,0.3238011058359733,0.2581444110818309,0.2566150160808388,0.2447227873745281,0,0,0.7972314066543003,17.78,41.7,1.182,5.15
Siyazan district,district,2008,33.33,15.6,5130.0,4542.0,65.0,50.0,8048.0,0.1,,33.33,50.0,1.0000000000000002,1.0000000000000002,0.7629093384087025,0.7821118498039743,0,0,1.0,33.33,0.1,4.542,0.65
Tovuz district,district,2008,29.92,,17330.0,16671.0,2683.0,48.1,25532.0,66.2,,49.28,,0.5212137498217054,0.5203877336183611,0.4039223168332608,0.4588090190566181,0,0,0.9984152064222656,29.92,66.2,16.671,26.83
Ujar district,district,2008,36.17,,28888.0,18997.0,10805.0,46.8,29055.0,5.6,,40.43,,0.519928760933356,0.5196844520654897,0.4330413501519015,0.4975077662555108,0,0,0.9995301108801372,36.17,5.6,18.997,108.05
Yevlakh district,district,2008,20.18,18.0,35158.0,22552.0,17419.0,48.2,29407.0,176.5,60.0,55.16,32.0,0.4432324733175274,0.4430671232414222,0.3702671041513219,0.4259068040800272,0,0,0.9996269450321013,20.18,176.5,22.552,174.19
Zagatala district,district,2008,25.93,24.0,28340.0,24344.0,7062.0,48.4,38516.0,40.0,51.5,40.0,40.0,0.6923273809595982,0.5375923814250441,0.485252264269665,0.4988518692502081,0,0,0.7765002457073354,25.93,40.0,24.344,70.62
Zardab district,district,2008,16.67,10.21,22272.0,19258.0,11357.0,50.0,21605.0,60.0,61.1,33.33,30.6,0.3824382621754561,0.3811947888999293,0.3548044628764114,0.3651647836537884,0,0,0.9967485646743256,16.67,60.0,19.258,113.57
Absheron district,district,2009,20.23,10.21,10535.0,10535.0,521.0,48.0,32280.0,32.7,6.8,39.29,38.12,0.9999999999999998,1.0000000000000002,0.1985927275593764,0.6673704596234002,0,0,1.0000000000000004,20.23,32.7,10.535,5.21
Agdash district,district,2009,12.02,10.71,34312.0,22828.0,12690.0,48.0,32417.0,80.0,88.9,19.23,28.33,0.4668197261203609,0.4634532916162658,0.3497217522899395,0.4355209884910727,0,0,0.9927885770122166,12.02,80.0,22.828,126.9
Aghdam district,district,2009,18.76,,14856.0,14515.0,6813.0,48.0,26726.0,44.7,,27.23,,0.6033864399211839,0.6009217700272464,0.5237644120069116,0.561268524400671,0,0,0.9959152713238644,18.76,44.7,14.515,68.13
Aghjabadi district,district,2009,14.77,,40093.0,34187.0,26417.0,48.0,48072.0,25.0,,40.0,,0.718030586762908,0.4589149574562737,0.4847759891665419,0.4336873427988812,0,0,0.6391300954534495,14.77,25.0,34.187,264.17
Aghstafa district,district,2009,30.0,,11340.0,9034.0,6685.0,48.0,11072.0,0.1,,37.5,,0.4151093538815177,0.3999880391274161,0.3948296452237792,0.3778371297830525,0,0,0.9635726956940182,30.0,0.1,9.034,66.85
Aghsu district,district,2009,22.1,21.56,18523.0,14262.0,875.0,48.0,23396.0,33.3,68.2,30.0,40.0,0.5393924059117436,0.535380062998754,0.3816489797964884,0.389030457862459,0,0,0.9925613655865112,22.1,33.3,14.262,8.75
Astara district,district,2009,21.53,17.22,22298.0,21793.0,675.0,48.0,19365.0,1.2,2.6,30.39,20.0,0.3551243661791334,0.351307113225404,0.2478121861432343,0.254112494414817,0,0,0.989250940466856,21.53,1.2,21.793,6.75
Balakan district,district,2009,26.99,,17525.0,14153.0,2776.0,47.0,14115.0,7.4,,41.16,,0.3337539759128404,0.3254868068219935,0.305776493957562,0.287215659285532,0,0,0.975229750991773,26.99,7.4,14.153,27.76
Beylagan district,district,2009,38.33,13.64,25975.0,24258.0,24825.0,48.0,30360.0,-47.5,46.4,20.0,20.0,0.4089681792837205,0.4084583601132928,0.3292761013006928,0.3862857122479583,0,0,0.9987534013738656,38.33,-47.5,24.258,248.25
Bilasuvar district,district,2009,,37.57,19304.0,17057.0,7410.0,,22066.0,,42.0,,53.0,0.4260607647200128,0.4222036449112712,0.3917392714166765,0.3928083859140188,0,0,0.9909470194673374,37.57,42.0,17.057,74.1
Dashkasan district,district,2009,20.04,18.8,13316.0,13137.0,80.0,48.0,19032.0,100.0,20.6,39.8,32.0,1.0,0.8006527864634982,0.653314085116244,0.4803331129704746,0,0,0.8006527864634982,20.04,100.0,13.137,0.8
Fuzuli district,district,2009,22.0,,14437.0,13347.0,4064.0,48.0,6757.0,0.1,,30.0,,0.1775406624328688,0.1652232925006515,0.1651411647918084,0.1507737875322223,0,0,0.930622259918205,22.0,0.1,13.347,40.64
Gabala district,district,2009,11.03,16.31,25973.0,24232.0,1282.0,48.0,25608.0,2.0,39.1,50.0,25.0,0.3466689325435888,0.3448954100449067,0.203608249494486,0.2386440660277429,0,0,0.9948841031537804,11.03,2.0,24.232,12.82
Gakh district,district,2009,27.43,34.81,14142.0,12170.0,3293.0,48.0,9646.0,60.7,47.4,45.0,57.06,0.2706564813750848,0.2586769271340846,0.2528894648230601,0.2339138565813557,0,0,0.955738897586574,27.43,60.7,12.17,32.93
Gazakh district,district,2009,20.0,20.24,15338.0,13615.0,7359.0,45.0,18359.0,150.0,97.3,50.0,40.2,0.4466667831718675,0.4400807682138615,0.4190212807086154,0.4132081238274717,0,0,0.9852551942384492,20.0,150.0,13.615,73.59
Gobustan district,district,2009,,22.63,11168.0,11055.0,30.0,,14545.0,,70.4,,41.24,0.9721397245084392,0.7686185024351867,0.3745889312661052,0.2990784133942141,0,0,0.7906461211878131,22.63,70.4,11.055,0.3
Goychay district,district,2009,30.9,,23217.0,18707.0,4459.0,48.0,23360.0,11.5,,37.91,,0.4106108572918283,0.4075394979342631,0.3608520345422293,0.36503580869463,0,0,0.9925200240007724,30.9,11.5,18.707,44.59
Goygol district,district,2009,22.71,25.4,9823.0,9689.0,1636.0,48.0,22427.0,34.0,18.4,43.45,37.02,0.7619785574575658,0.7554282836871056,0.6559903135770112,0.6569898928308281,0,0,0.9914035982950544,22.71,34.0,9.689,16.36
