region,region_type,year,cost_price_per_centner_milk_enterprises_manat,cost_price_per_centner_milk_private_manat,cows_dairy_buffaloes_stock_heads,cows_heads,fodder_sown_area_ha,labour_hours_per_centner_milk_enterprises,milk_production_tons,profitability_milk_enterprises_pct,profitability_milk_private_pct,selling_price_per_centner_milk_enterprises_manat,selling_price_per_centner_milk_private_manat,cost_milk,profitability,vrs_raw,crs_raw,vrs_bc,crs_bc,vrs_bootstrap_degenerate_draws,crs_bootstrap_degenerate_draws,scale_eff_raw
Astara district,district,2021,32.62,,19993.0,19785.0,1349.4,23.0,27626.0,21.1,,41.1,,32.62,21.1,0.3736514044635134,0.3645598020691863,0.3265592219848713,0.32258661636396735,0,0,0.9756682236819616
Babak district,district,2021,,,9127.0,8365.0,1607.0,,13852.0,,,,,,,0.46687426157234074,0.43234791057827776,0.432715495627379,0.4031520316875745,0,0,0.9260478594862244
Balakan district,district,2021,27.0,,17404.0,15682.0,2986.0,47.0,21929.0,85.2,,50.0,,27.0,85.2,0.37943701860775775,0.3650935873920818,0.3545770284948271,0.3403327006117701,0,0,0.9621981237668762
Barda district,district,2021,38.28,,43805.0,41443.0,29431.0,36.2,86540.0,77.0,,67.8,,38.28,77.0,0.6055470692322094,0.5451958381801371,0.3109169714114566,0.5224424545204418,0,0,0.9003360199090826
Beylagan district,district,2021,4.31,28.46,28463.0,28346.0,23809.0,66.3,39899.0,62.3,,40.06,,4.31,62.3,0.37042125688507777,0.3674997560212054,0.34722238094307534,0.35225441498522087,0,0,0.9921130312864881
Bilasuvar district,district,2021,95.84,,19586.0,18572.0,7288.3,48.0,27376.0,,,59.73,,95.84,,0.3946477625289501,0.3848558957917739,0.37655009282687846,0.3663347600561891,0,0,0.9751883383946517
Fuzuli district,district,2021,31.25,,16227.0,15349.0,6721.0,30.6,28599.0,36.4,,44.73,,31.25,36.4,0.4976895150372747,0.4864717088075571,0.4755107701256668,0.4638881535545605,0,0,0.9774602319502803
Gabala district,district,2021,39.29,,21301.0,20924.0,1174.5,54.0,40892.0,12.9,,64.93,,39.29,12.9,0.5138294714199371,0.5102470090665719,0.38845514297785955,0.4420582750388603,0,0,0.9930279157723958
Gadabay district,district,2021,,,22578.0,22499.0,40.4,,47618.0,,,,,,,0.9999999999999999,1.0,0.0,0.0,6,0,1.0000000000000002
Gakh district,district,2021,37.42,,12383.0,11290.0,2022.0,24.8,16210.0,32.1,,81.12,,37.42,32.1,0.39879536515857256,0.37486586856904597,0.3711947344065429,0.34859062167674065,0,0,0.9399955498981
